,RFdiam,bsl,bsl_FR,layer,maxamplif,maxamplif_diam,maxamplif_perc,maxquench,maxquench_diam,maxquench_perc,qtype_signi,unit
1,1.0,1.059092930123297,0.8387886382623224,IG,0.6593336602466846,0.6000000000000001,0.6232900156677016,-0.3973206942526415,15.0,-0.27852888951221305,mixer,15
1,0.6000000000000001,1.348642013897628,1.6573350041771093,IG,0.45388089977979296,0.4000000000000001,0.5523635643825365,-1.3306744138419162,3.0000000000000004,-0.5124224288957308,mixer,16
1,0.8000000000000002,0.8867518683716072,5.761867954911433,IG,0.3890090106386571,3.0000000000000004,0.48115060703775125,-0.3199744153613684,2.4000000000000004,-0.27224410693756224,mixer,29
1,0.8000000000000002,1.7978589741776412,1.8315056360708535,IG,,,,-1.9003773485189592,10.000000000000002,-0.6487907675091422,quencher,30
1,0.6000000000000001,2.4511400640832157,2.2572946859903382,IG,,,,-2.559246775636529,0.8000000000000002,-0.8974183389444297,quencher,31
1,1.0,1.642822214214574,3.5138727858293075,IG,,,,-1.9095777361079995,10.000000000000002,-0.7656624308858944,quencher,32
1,0.5,3.954111538037371,3.5024959742351047,IG,,,,-4.707139663445816,3.0000000000000004,-0.7793040482490218,quencher,33
1,2.4000000000000004,3.190305780134425,3.2855152979066022,IG,,,,-3.1512835818080283,10.000000000000002,-0.7605616055998565,quencher,34
1,0.20000000000000004,1.3054161591047806,2.197874396135266,IG,,,,-0.9686576486960231,0.4000000000000001,-0.5067706910079252,quencher,35
1,0.6000000000000001,2.2498849858231296,4.845722639933165,IG,,,,-1.258432426933924,0.6000000000000001,-0.4153917690571965,quencher,53
1,0.8000000000000002,1.8018727665493603,3.7853801169590646,IG,0.44876124558036623,2.4000000000000004,0.23023049153330868,-0.6107461830423486,0.4000000000000001,-0.27719279406566344,mixer,54
1,0.6000000000000001,1.7858797177420824,1.1395572263993314,IG,1.0070278832426898,3.5000000000000004,0.5926583410723928,-0.6464985405396684,5.000000000000001,-0.36983227886126213,mixer,55
1,0.5,4.425687989474438,2.897368421052632,IG,2.4805791502267,0.10000000000000002,0.5871543398579437,-5.790625257985136,5.000000000000001,-0.8310486685265971,mixer,56
1,0.5,2.5982949442903998,2.742464494569758,IG,1.3265074904345822,20.000000000000004,0.5136833353589159,-2.464082953516992,0.6000000000000001,-0.6843680708416167,mixer,57
1,0.5,5.267966268849915,6.90998329156224,IG,,,,-4.1875117301834575,0.6000000000000001,-0.6613636166538588,quencher,58
1,0.8000000000000002,4.118609932430466,4.091796157059315,IG,,,,-3.968664921733194,5.000000000000001,-0.7823682578424688,quencher,59
1,0.5,1.399092785071936,2.306598754951896,IG,0.6578040834269752,0.20000000000000004,0.5368654441593499,-0.4526741752335033,26.000000000000007,-0.30199336242581604,mixer,75
1,0.4000000000000001,1.5633813740566214,0.46348047538200343,IG,0.40064500483735666,2.4000000000000004,0.3869949811452512,-1.457126004560128,0.4000000000000001,-0.5956071557387553,mixer,76
1,0.4000000000000001,2.3169180097281274,2.2591511035653653,IG,1.1843940780270885,0.10000000000000002,0.8751361840173579,-3.151576970671116,0.4000000000000001,-0.8140183821967952,mixer,77
1,0.6000000000000001,1.5921106758872332,2.0944312393887947,IG,0.4797232955611952,0.10000000000000002,0.34965774197531707,-1.7469987313030932,3.0000000000000004,-0.6693280543957615,mixer,78
1,0.8000000000000002,1.4639672661164216,0.9376004527447652,IG,0.9545049083221835,0.5,0.7638252593643433,-0.5341604853123474,20.000000000000004,-0.2549759330134775,mixer,79
1,0.6000000000000001,1.0806480486317247,1.3043803056027166,IG,0.5805837190100043,1.9999999999999998,0.6970770665763876,-0.6467839193811906,1.0,-0.3819753898791674,mixer,80
1,1.0,1.1526099006190045,1.7135653650254667,IG,0.2365120682853814,1.2000000000000002,0.1991873974262314,-0.4563284856195622,1.0,-0.29078179735237714,mixer,81
1,0.5,1.12413774316196,0.8179153766769865,IG,0.32972356361108546,0.6000000000000001,0.338424695529327,-0.3686732422558098,3.0000000000000004,-0.2883408920859271,mixer,100
1,0.4000000000000001,2.5026122605080756,0.9340866873065015,IG,0.677742691158083,0.20000000000000004,0.2941998456332065,-2.1977316160408202,1.4999999999999998,-0.6753963083814796,mixer,101
1,0.5,1.2651940598823308,2.7171826625386997,IG,0.3382280330531553,0.20000000000000004,0.26542884179802434,-0.5338712198762394,1.4999999999999998,-0.3803124392676417,mixer,102
1,0.8000000000000002,1.4985169413147592,1.1924286205710353,IG,0.5846847507413715,0.20000000000000004,0.4126173762941594,-0.65824996156647,1.0,-0.4371281828927469,mixer,103
1,0.8000000000000002,1.5319271676048216,1.738403852769178,IG,0.9383647932340868,0.8000000000000002,0.7502394164221725,-0.28805567904730345,5.000000000000001,-0.1887366544823251,mixer,104
1,2.4000000000000004,1.579599113371913,0.6782249742002064,IG,0.3846566294116174,0.5,0.3079877254230165,-1.369605152715075,0.4000000000000001,-0.479625875978248,mixer,105
1,15.0,1.3369295460654158,1.3590299277605777,IG,1.5323724944632489,20.000000000000004,1.1460470757978662,-0.8642309777300801,1.4999999999999998,-0.47835954317902757,mixer,106
1,3.0000000000000004,1.5655404468514484,0.3270141038871689,IG,0.8217492448002466,26.000000000000007,0.5355557466753447,-0.7793118367910077,0.4000000000000001,-0.4121774404366972,mixer,107
