,bsl,bsl_FR,layer,maxamplif,maxamplif_diam,maxamplif_perc,maxquench,maxquench_diam,maxquench_perc,qtype,qtype_signi
1,1.932719721377172,3.167978279030911,G,,,,-1.4510391352065042,1.4999999999999998,-0.5385505123010188,mixer,quencher
1,1.7557040434805278,3.1534586466165413,G,0.5652157508924496,1.4999999999999998,0.44881332262718626,-1.634924367866363,0.4000000000000001,-0.6453425856935021,mixer,mixer
1,1.723775585997595,5.34140350877193,G,,,,-0.7486097703635048,0.5,-0.3141639611587597,mixer,quencher
1,1.8759466340445643,0.983671497584541,G,,,,-1.2578528203583887,5.000000000000001,-0.5059452523169564,mixer,quencher
1,1.1319999958159674,1.797753623188406,G,,,,-0.5119924597890974,1.0,-0.391234267626145,mixer,quencher
1,1.1578367151297912,2.3674315619967796,G,0.5541423700551007,0.20000000000000004,0.5457358889271239,-0.6819143199043639,1.4999999999999998,-0.45075625331894315,mixer,mixer
1,2.435121353062666,0.8679615705931495,G,1.6841337814127626,0.10000000000000002,0.8376163934862052,-2.5887489980625187,1.9999999999999998,-0.6947447242067376,mixer,mixer
1,2.896865183790887,1.252439431913116,G,1.5420421675031348,0.10000000000000002,0.550385912434375,-3.671750846533607,1.2000000000000002,-0.7917117086214751,mixer,mixer
1,1.6636489945758277,4.305597326649957,G,0.21713140551811638,2.4000000000000004,0.157917816835109,-1.2334982863267974,3.0000000000000004,-0.46594907826814885,mixer,mixer
1,1.6525602761081264,0.6165251839275608,G,1.4936983664452006,0.10000000000000002,0.7034563095038222,-1.3374721129540172,0.20000000000000004,-0.671711285041156,mixer,mixer
1,1.0228782614603529,0.32260894170911153,G,0.7916434523170551,1.0,0.9408827925116031,-0.22703132366275303,0.5,-0.20249059400419106,mixer,mixer
1,2.082177213513905,2.775919637804188,G,0.794819054279283,0.20000000000000004,0.480846447307445,-1.5653311800798986,3.5000000000000004,-0.6225187210757986,mixer,mixer
1,1.9368826170991156,2.0480288957688337,G,1.9551129770792786,0.6000000000000001,1.0940026258305933,-1.0493823119814,2.4000000000000004,-0.44873577980507434,mixer,mixer
1,1.565473338271233,2.7091400068799447,G,,,,-0.7349993810357044,1.2000000000000002,-0.44139616001651477,mixer,quencher
1,1.0706182415867294,1.8755452356381148,G,0.2448600422822842,0.20000000000000004,0.2588495931479604,-0.38121172511253854,0.10000000000000002,-0.28288234001440205,mixer,mixer
1,1.5182424170368964,3.1691478696741857,IG,0.5920821594338908,0.10000000000000002,0.41224732106303874,-0.673854468594697,0.6000000000000001,-0.3765514184845,mixer,mixer
1,1.112521315266044,2.4431996658312447,IG,0.5593117852856957,0.10000000000000002,0.6573084780677546,-0.751404729912679,1.2000000000000002,-0.461528564634351,mixer,mixer
1,1.8335468928267595,1.4710108604845444,IG,1.0283820781033124,0.20000000000000004,0.8136176696914401,-1.7266118919771636,1.8000000000000003,-0.6182808460923516,mixer,mixer
1,1.4744035897524774,1.004394319131161,IG,0.970280550248162,0.10000000000000002,0.8038194171088434,-1.0813715027309436,0.6000000000000001,-0.4647580615130396,mixer,mixer
1,2.185124945550665,1.6070342522974101,IG,,,,-2.672066022084554,0.4000000000000001,-0.6682692849372416,mixer,quencher
1,1.059092930123297,0.8387886382623224,IG,0.6593336602466846,0.20000000000000004,0.6232900156677016,-0.3973206942526415,0.6000000000000001,-0.27852888951221305,mixer,mixer
1,1.348642013897628,1.6573350041771093,IG,0.45388089977979296,0.20000000000000004,0.5523635643825365,-1.3306744138419162,1.2000000000000002,-0.5124224288957308,mixer,mixer
1,0.8867518683716072,5.761867954911433,IG,0.3890090106386571,0.6000000000000001,0.48115060703775125,-0.3199744153613684,0.5,-0.27224410693756224,mixer,mixer
1,1.7978589741776412,1.8315056360708535,IG,,,,-1.9003773485189592,1.9999999999999998,-0.6487907675091422,mixer,quencher
1,2.4511400640832157,2.2572946859903382,IG,,,,-2.559246775636529,0.8000000000000002,-0.8974183389444297,quencher,quencher
1,1.642822214214574,3.5138727858293075,IG,,,,-1.9095777361079995,3.0000000000000004,-0.7656624308858944,quencher,quencher
1,3.954111538037371,3.5024959742351047,IG,,,,-4.707139663445816,3.0000000000000004,-0.7793040482490218,quencher,quencher
1,3.190305780134425,3.2855152979066022,IG,,,,-3.1512835818080283,10.000000000000002,-0.7605616055998565,quencher,quencher
1,1.3054161591047806,2.197874396135266,IG,,,,-0.9686576486960231,0.20000000000000004,-0.5067706910079252,mixer,quencher
1,2.2498849858231296,4.845722639933165,IG,,,,-1.258432426933924,0.10000000000000002,-0.4153917690571965,mixer,quencher
